ISSN -L	Wiki-ID	Label (titre)	ISSN ref titre	Code ISO de langue	ISSN ref langue	ISO pays	ISSN ref pays	URLs	ISSN ref URLs	ISSN1	keytitle1	format1	ISSN2	keytitle2	format2	ISSN3	keytitle3	format3	ISSN4	keytitle4	format4	cancelled ISSN
0486-6436	Q10360083	Revista brasiliense	0486-6436	por	0486-6436	BRA	0486-6436			0486-6436	 Revista brasiliense	ta										
2174-5951	Q10360088	 Cervantes	2174-5951	spa	2174-5951	ESP	2174-5951			2174-5951	 Cervantes (Madrid. 1916)	ta										
1519-8219	Q10360098	 Revista Eletrônica de Iniciação Científica	1519-8219	por	1519-8219	BRA	1519-8219	http://seer.ufrgs.br/reic/index	1519-8219	1519-8219	 Revista Eletrônica de Iniciação Científica	cr										
0104-026X	Q10360102	 Revista Estudos Feministas	0104-026X	mul	0104-026X	BRA	0104-026X	http://www.periodicos.ufsc.br/index.php/ref http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-026X&lng=pt&nrm=iso	1806-9584	0104-026X	 Revista Estudos Feministas (Impresso)	ta	1806-9584	 Revista Estudos Feministas (Online)	cr							
1867-8742	Q1036012	 Cargo	1867-8742	ger	1867-8742	DEU	1867-8742	http://www.cargo-film.de	1867-8750	1867-8742	 Cargo (Berlin. Print)	ta	1867-8750	 Cargo (Berlin. Internet)	cr							
0871-004X	Q10360132	Macau	0871-004X	por	0871-004X	MAC	0871-004X			0871-004X	 Macau (Ed. portuguesa)	ta										
1413-8085	Q10360154	 Raça Brasil	1413-8085	por	1413-8085	BRA	1413-8085			1413-8085	 Raça Brasil	ta										
0947-9783	Q1036017	 Cargo	0947-9783	ger	0947-9783	DEU	0947-9783			0947-9783	 Cargo (München)	ta										
2236-5036	Q10360176	 Revista da Academia Piauiense de Letras	2236-5036	por	2236-5036	BRA	2236-5036			2236-5036	 Revista da Academia Piauiense de Letras	ta										
0102-5104	Q10360181	Revista de antropofagia	0102-5104	por	0102-5104	BRA	0102-5104			0102-5104	 Revista de antropofagia	ta										
0874-8012	Q10360183	 Revista de contabilidade e comércio	0874-8012	por	0874-8012	PRT	0874-8012			0874-8012	 Revista de contabilidade e comércio	ta										
0101-3157	Q10360184	 Brazilian Journal of Political Economy	0101-3157	mul	0101-3157	BRA	0101-3157	http://www.scielo.br/rep http://www.rep.org.br/	1809-4538	0101-3157	 Brazilian Journal of Political Economy (Impresso)	ta	1809-4538	 Brazilian Journal of Political Economy (Online)	cr							
